ID,Name,Exercise type,BodyPart,Equipment,Gender,Target,ILID,Synergist
108512,Suspender Pike (female),Strength,Hips,Suspension,Female,Iliopsoas,0720,"Adductor Brevis, Adductor Longus, Pectineous, Quadriceps, Sartorius, Tensor Fasciae Latae"
108712,Suspender Pull Through (female),Strength,Back,Suspension,Female,,0721,
108812,Suspender Pull-up (female),Strength,Back,Suspension,Female,Latissimus Dorsi,0722,"Biceps Brachii, Levator Scapulae, Pectoralis Major Sternal Head, Teres Major, Trapezius Lower Fibers, Trapezius Middle Fibers"
109012,Suspender Reverse Fly (female),Strength,Shoulders,Suspension,Female,Deltoid Posterior ,0723,"Infraspinatus, Teres Minor, Trapezius Lower Fibers, Trapezius Middle Fibers"
109112,Suspender Rollout (female),Strength,Waist,Suspension,Female,Rectus Abdominis,0724,"Deltoid Posterior, Latissimus Dorsi, Pectoralis Major Sternal Head, Teres Major"
109212,Suspender Row (female),Strength,Back,Suspension,Female,,0725,
109312,Suspender Self Assisted Chest Dip (female),Strength,Chest,Suspension,Female,Pectoralis Major Sternal Head,0726,"Deltoid Anterior, Latissimus Dorsi, Levator Scapulae, Pectoralis Major Clavicular Head, Triceps Brachii"
109412,Suspender Self assisted Pull-up (female),Strength,Back,Suspension,Female,Latissimus Dorsi,0727,"Biceps Brachii, Brachialis, Brachioradialis, Deltoid Posterior, Infraspinatus, Teres Major, Teres Minor, Trapezius Lower Fibers, Trapezius Middle Fibers"
109712,Suspender Side Bend (female),Strength,Waist,Suspension,Female,,0728,
109812,Suspender Side Bridge (female),Strength,Waist,Suspension,Female,Obliques,0729,"Adductor Brevis, Adductor Longus, Deltoid Lateral, Gracilis, Iliopsoas, Pectineous, Tensor Fasciae Latae"
